GPUName,DeviceID
GeForce 840A,"PCI\VEN_10DE&DEV_1341&SUBSYS_369717AA
PCI\VEN_10DE&DEV_1341&SUBSYS_369917AA
PCI\VEN_10DE&DEV_1341&SUBSYS_369C17AA"
GeForce 840M,"PCI\VEN_10DE&DEV_1341
PCI\VEN_10DE&DEV_1341&SUBSYS_08631025
PCI\VEN_10DE&DEV_1341&SUBSYS_08671025
PCI\VEN_10DE&DEV_1341&SUBSYS_08721025
PCI\VEN_10DE&DEV_1341&SUBSYS_08771025
PCI\VEN_10DE&DEV_1341&SUBSYS_087A1025
PCI\VEN_10DE&DEV_1341&SUBSYS_08821025
PCI\VEN_10DE&DEV_1341&SUBSYS_08861025
PCI\VEN_10DE&DEV_1341&SUBSYS_091C1025
PCI\VEN_10DE&DEV_1341&SUBSYS_091D1025
PCI\VEN_10DE&DEV_1341&SUBSYS_09221025
PCI\VEN_10DE&DEV_1341&SUBSYS_09251025
PCI\VEN_10DE&DEV_1341&SUBSYS_09421025
PCI\VEN_10DE&DEV_1341&SUBSYS_09481025
PCI\VEN_10DE&DEV_1341&SUBSYS_09631025
PCI\VEN_10DE&DEV_1341&SUBSYS_09661025
PCI\VEN_10DE&DEV_1341&SUBSYS_09911025
PCI\VEN_10DE&DEV_1341&SUBSYS_101F1025"
GeForce 845M,"PCI\VEN_10DE&DEV_1344&SUBSYS_06921028
PCI\VEN_10DE&DEV_1398&SUBSYS_177D1043"
GeForce 8500 GT,PCI\VEN_10DE&DEV_0421
GeForce 8600 GS,PCI\VEN_10DE&DEV_0403
GeForce 8600 GT,"PCI\VEN_10DE&DEV_0401
PCI\VEN_10DE&DEV_0402
PCI\VEN_10DE&DEV_0402&SUBSYS_034D1043
PCI\VEN_10DE&DEV_0402&SUBSYS_034E1043"
GeForce 8600 GTS,PCI\VEN_10DE&DEV_0400
GeForce 8800 GS,PCI\VEN_10DE&DEV_0606
GeForce 8800 GT,"PCI\VEN_10DE&DEV_0602
PCI\VEN_10DE&DEV_0611
PCI\VEN_10DE&DEV_0611&SUBSYS_053C10DE"
GeForce 8800 GTS,"PCI\VEN_10DE&DEV_0193
PCI\VEN_10DE&DEV_0193&SUBSYS_042010DE
PCI\VEN_10DE&DEV_0193&SUBSYS_042110DE"
GeForce 8800 GTS 512,PCI\VEN_10DE&DEV_0600
GeForce 8800 GTX,"PCI\VEN_10DE&DEV_0191
PCI\VEN_10DE&DEV_0191&SUBSYS_039C10DE"
GeForce 8800 Ultra,PCI\VEN_10DE&DEV_0194
GeForce 8800M GTS,"PCI\VEN_10DE&DEV_0609&SUBSYS_01211170
PCI\VEN_10DE&DEV_0609&SUBSYS_019B1028
PCI\VEN_10DE&DEV_0609&SUBSYS_0690107B
PCI\VEN_10DE&DEV_0609&SUBSYS_0770152D
PCI\VEN_10DE&DEV_0609&SUBSYS_30D4103C"
GeForce 9100,PCI\VEN_10DE&DEV_0847
GeForce 9100M G,"PCI\VEN_10DE&DEV_0844&SUBSYS_014A1025
PCI\VEN_10DE&DEV_0844&SUBSYS_014D1025
PCI\VEN_10DE&DEV_0844&SUBSYS_0173107B
PCI\VEN_10DE&DEV_0844&SUBSYS_208C17C0
PCI\VEN_10DE&DEV_0844&SUBSYS_208F17C0
PCI\VEN_10DE&DEV_0844&SUBSYS_360A103C
PCI\VEN_10DE&DEV_0844&SUBSYS_408F17C0
PCI\VEN_10DE&DEV_0844&SUBSYS_65201462
PCI\VEN_10DE&DEV_0844&SUBSYS_67101462
PCI\VEN_10DE&DEV_0844&SUBSYS_67201462
PCI\VEN_10DE&DEV_0844&SUBSYS_CB8410DE
PCI\VEN_10DE&DEV_086E&SUBSYS_05771558
PCI\VEN_10DE&DEV_086E&SUBSYS_16E21043
PCI\VEN_10DE&DEV_086E&SUBSYS_40061B0A
PCI\VEN_10DE&DEV_086E&SUBSYS_76211462
PCI\VEN_10DE&DEV_086E&SUBSYS_90701071
PCI\VEN_10DE&DEV_086E&SUBSYS_90721071
PCI\VEN_10DE&DEV_086E&SUBSYS_B051144D
PCI\VEN_10DE&DEV_086E&SUBSYS_FF001179"
GeForce 910M,"PCI\VEN_10DE&DEV_129A&SUBSYS_099E1025
PCI\VEN_10DE&DEV_129A&SUBSYS_10141025
PCI\VEN_10DE&DEV_129A&SUBSYS_10151025"
GeForce 9200,"PCI\VEN_10DE&DEV_0846
PCI\VEN_10DE&DEV_084B
PCI\VEN_10DE&DEV_086D
PCI\VEN_10DE&DEV_0871"
GeForce 920A,"PCI\VEN_10DE&DEV_1299&SUBSYS_30BB17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_30DA17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_30DC17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_30DD17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_30DF17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_311717AA
PCI\VEN_10DE&DEV_1299&SUBSYS_361B17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_362D17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_362E17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_363017AA
PCI\VEN_10DE&DEV_1299&SUBSYS_363717AA
PCI\VEN_10DE&DEV_1299&SUBSYS_369B17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_36A717AA
PCI\VEN_10DE&DEV_1299&SUBSYS_36AF17AA
PCI\VEN_10DE&DEV_1299&SUBSYS_36F017AA"
GeForce 920M,"PCI\VEN_10DE&DEV_1299&SUBSYS_093C1025
PCI\VEN_10DE&DEV_1299&SUBSYS_09451025
PCI\VEN_10DE&DEV_1299&SUBSYS_096B1025
PCI\VEN_10DE&DEV_1299&SUBSYS_09711025
PCI\VEN_10DE&DEV_1299&SUBSYS_09741025
PCI\VEN_10DE&DEV_1299&SUBSYS_09771025
PCI\VEN_10DE&DEV_1299&SUBSYS_09851025
PCI\VEN_10DE&DEV_1299&SUBSYS_09881025
PCI\VEN_10DE&DEV_1299&SUBSYS_098B1025
PCI\VEN_10DE&DEV_1299&SUBSYS_098F1025
PCI\VEN_10DE&DEV_1299&SUBSYS_09921025
PCI\VEN_10DE&DEV_1299&SUBSYS_099A1025
PCI\VEN_10DE&DEV_1299&SUBSYS_099F1025
PCI\VEN_10DE&DEV_1299&SUBSYS_100D1025
PCI\VEN_10DE&DEV_1299&SUBSYS_101A1025
PCI\VEN_10DE&DEV_1299&SUBSYS_10251025
PCI\VEN_10DE&DEV_1299&SUBSYS_10351025
PCI\VEN_10DE&DEV_1299&SUBSYS_103E1025
PCI\VEN_10DE&DEV_1299&SUBSYS_10401025
PCI\VEN_10DE&DEV_1299&SUBSYS_10421025
PCI\VEN_10DE&DEV_1299&SUBSYS_10451025
PCI\VEN_10DE&DEV_1299&SUBSYS_107F1025"
GeForce 920MX,"PCI\VEN_10DE&DEV_134F&SUBSYS_11221025
PCI\VEN_10DE&DEV_134F&SUBSYS_11231025
PCI\VEN_10DE&DEV_134F&SUBSYS_114A1025
PCI\VEN_10DE&DEV_134F&SUBSYS_114C1025
PCI\VEN_10DE&DEV_134F&SUBSYS_11581025"
GeForce 9300,"PCI\VEN_10DE&DEV_0864
PCI\VEN_10DE&DEV_0864&SUBSYS_2A7C103C"
GeForce 9300 / nForce 730i,PCI\VEN_10DE&DEV_086C
GeForce 9300 GE,"PCI\VEN_10DE&DEV_06E0
PCI\VEN_10DE&DEV_06E0&SUBSYS_34831458
PCI\VEN_10DE&DEV_06E0&SUBSYS_34841458"
GeForce 9300 GS,"PCI\VEN_10DE&DEV_06E1
PCI\VEN_10DE&DEV_06E1&SUBSYS_34831458
PCI\VEN_10DE&DEV_06E1&SUBSYS_34841458
PCI\VEN_10DE&DEV_06E1&SUBSYS_37761642
PCI\VEN_10DE&DEV_10C0"
GeForce 9300 SE,PCI\VEN_10DE&DEV_06E7
GeForce 9300M GS,"PCI\VEN_10DE&DEV_06E9
PCI\VEN_10DE&DEV_06E9&SUBSYS_05101043
PCI\VEN_10DE&DEV_06E9&SUBSYS_90101B0A
PCI\VEN_10DE&DEV_06E9&SUBSYS_90331B0A"
